"job_number","email","total_volume","edited_volume","task_received_date","status","updatedAt"
"523","tausif.biswas@gmail.com",60.3,72.3,"2022-01-05","Done","2022-06-01T11:10:46.669Z"
"3","tausif.biswas@gmail.com",85.6,5.3,"7/8/1995","Done","2022-06-01T14:58:00.347Z"
"69","tausif.biswas@gmail.com",95.6,33333,"6/8/2002","Pending","2022-05-30T17:31:09.216Z"
"25","tausif.biswas@gmail.com",23.6,25.1,"1/3/2006","Pending","2022-05-30T17:49:08.824Z"
"78","tausif.biswas@gmail.com",884,269,"4/6/2021","Pending","2022-05-30T17:51:09.656Z"
"263","tausif.biswas@gmail.com",12.2,36.5,"2/2/2022","Done","2022-06-01T14:57:46.141Z"
"6969","tausif.biswas@gmail.com",59.6,21.2,"5/1/2023","Done","2022-06-01T15:26:43.726Z"
"351","tausif.biswas@gmail.com",98.8,12.2,"5/9/1996","Done","2022-06-01T16:24:56.896Z"
"11","tausif.biswas@gmail.com",88,85,"6/2/2022","Done","2022-06-02T09:10:39.288Z"
"55","tausif.biswas@gmail.com",88,78,"6/3/2022","Done","2022-06-03T06:42:25.941Z"
"2555","tausif.biswas@gmail.com",79,60,"6/1/2022","Done","2022-06-03T12:30:53.255Z"
